,# codigo,descripcion,tipo_arbol,folder_id
0,# ALIMENTOS,,Profeco_010101_arbol,data20220615
1,"# ACEITES, GRASAS Y VINAGRES",,Profeco_010101_arbol,data20220615
2,# ACEITES Y GRASAS,,Profeco_010101_arbol,data20220615
3,0166,ACEITE,Profeco_010101_arbol,data20220615
4,9000,ACEITE DE OLIVA,Profeco_010101_arbol,data20220615
5,9002,ALCAPARRA,Profeco_010101_arbol,data20220615
6,0170,GRASA COMESTIBLE,Profeco_010101_arbol,data20220615
7,0172,MANTECA DE CERDO,Profeco_010101_arbol,data20220615
8,0147,MANTEQUILLA,Profeco_010101_arbol,data20220615
9,0171,MARGARINA,Profeco_010101_arbol,data20220615
10,# VINAGRES,,Profeco_010101_arbol,data20220615
11,0983,VINAGRE,Profeco_010101_arbol,data20220615
12,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220615
13,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220615
14,9001,ACEITUNA,Profeco_010101_arbol,data20220615
15,0935,ALIMENTO PREPARADO PARA NIÑOS,Profeco_010101_arbol,data20220615
16,0136,ATUN,Profeco_010101_arbol,data20220615
17,0917,CHICHAROS EN LATA,Profeco_010101_arbol,data20220615
18,0915,CHILES,Profeco_010101_arbol,data20220615
19,0956,COCTEL DE FRUTAS EN ALMIBAR,Profeco_010101_arbol,data20220615
20,0970,CONCENTRADO DE POLLO,Profeco_010101_arbol,data20220615
21,0951,DURAZNOS EN ALMIBAR,Profeco_010101_arbol,data20220615
22,0864,ELOTE,Profeco_010101_arbol,data20220615
23,0931,FRIJOLES,Profeco_010101_arbol,data20220615
24,0971,MAYONESA,Profeco_010101_arbol,data20220615
25,0972,MOLE ROJO EN PASTA,Profeco_010101_arbol,data20220615
26,0973,MOSTAZA,Profeco_010101_arbol,data20220615
27,0013,PAPAS FRITAS Y SIMILARES,Profeco_010101_arbol,data20220615
28,0014,PASTA PARA SOPA,Profeco_010101_arbol,data20220615
29,0952,PIÑA EN ALMIBAR,Profeco_010101_arbol,data20220615
30,0916,PURE DE TOMATE,Profeco_010101_arbol,data20220615
31,0978,SALSA DE SOYA,Profeco_010101_arbol,data20220615
32,0976,SALSA INGLESA,Profeco_010101_arbol,data20220615
33,0977,SALSA PICANTE,Profeco_010101_arbol,data20220615
34,0137,SARDINA,Profeco_010101_arbol,data20220615
35,0303,SOPA INSTANTANEA,Profeco_010101_arbol,data20220615
36,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220615
37,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220615
38,0960,AZUCAR,Profeco_010101_arbol,data20220615
39,0961,CAFE SOLUBLE,Profeco_010101_arbol,data20220615
40,0962,CAFE TOSTADO Y MOLIDO,Profeco_010101_arbol,data20220615
41,0991,CHOCOLATE EN TABLILLAS,Profeco_010101_arbol,data20220615
42,0998,JARABE PARA PREPARAR BEBIDAS,Profeco_010101_arbol,data20220615
43,0950,MERMELADA,Profeco_010101_arbol,data20220615
44,0996,MIEL DE ABEJA,Profeco_010101_arbol,data20220615
45,0990,POLVO PARA BEBIDAS SABOR CHOCOLATE,Profeco_010101_arbol,data20220615
46,# POSTRES PARA PREPARAR,,Profeco_010101_arbol,data20220615
47,0994,FLAN,Profeco_010101_arbol,data20220615
48,0995,GELATINA EN POLVO,Profeco_010101_arbol,data20220615
49,0984,POLVO P/HORNEAR,Profeco_010101_arbol,data20220615
50,# BEBIDAS,,Profeco_010101_arbol,data20220615
51,# BEBIDAS ALCOHOLICAS,,Profeco_010101_arbol,data20220615
52,1000,BRANDY,Profeco_010101_arbol,data20220615
