,# codigo,descripcion,tipo_arbol,folder_id
0,# ALIMENTOS,,Profeco_010101_arbol,data20220905
1,"# ACEITES, GRASAS Y VINAGRES",,Profeco_010101_arbol,data20220905
2,# ACEITES Y GRASAS,,Profeco_010101_arbol,data20220905
3,0166,ACEITE,Profeco_010101_arbol,data20220905
4,9000,ACEITE DE OLIVA,Profeco_010101_arbol,data20220905
5,9002,ALCAPARRA,Profeco_010101_arbol,data20220905
6,0170,GRASA COMESTIBLE,Profeco_010101_arbol,data20220905
7,0172,MANTECA DE CERDO,Profeco_010101_arbol,data20220905
8,0147,MANTEQUILLA,Profeco_010101_arbol,data20220905
9,0171,MARGARINA,Profeco_010101_arbol,data20220905
10,# VINAGRES,,Profeco_010101_arbol,data20220905
11,0983,VINAGRE,Profeco_010101_arbol,data20220905
12,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220905
13,# ALIMENTOS EN LATA Y PROCESADOS,,Profeco_010101_arbol,data20220905
14,9001,ACEITUNA,Profeco_010101_arbol,data20220905
15,0935,ALIMENTO PREPARADO PARA NIÑOS,Profeco_010101_arbol,data20220905
16,0136,ATUN,Profeco_010101_arbol,data20220905
17,0917,CHICHAROS EN LATA,Profeco_010101_arbol,data20220905
18,0915,CHILES,Profeco_010101_arbol,data20220905
19,0956,COCTEL DE FRUTAS EN ALMIBAR,Profeco_010101_arbol,data20220905
20,0970,CONCENTRADO DE POLLO,Profeco_010101_arbol,data20220905
21,0951,DURAZNOS EN ALMIBAR,Profeco_010101_arbol,data20220905
22,0864,ELOTE,Profeco_010101_arbol,data20220905
23,0931,FRIJOLES,Profeco_010101_arbol,data20220905
24,0971,MAYONESA,Profeco_010101_arbol,data20220905
25,0972,MOLE ROJO EN PASTA,Profeco_010101_arbol,data20220905
26,0973,MOSTAZA,Profeco_010101_arbol,data20220905
27,0014,PASTA PARA SOPA,Profeco_010101_arbol,data20220905
28,0952,PIÑA EN ALMIBAR,Profeco_010101_arbol,data20220905
29,0916,PURE DE TOMATE,Profeco_010101_arbol,data20220905
30,0978,SALSA DE SOYA,Profeco_010101_arbol,data20220905
31,0976,SALSA INGLESA,Profeco_010101_arbol,data20220905
32,0977,SALSA PICANTE,Profeco_010101_arbol,data20220905
33,0137,SARDINA,Profeco_010101_arbol,data20220905
34,0303,SOPA INSTANTANEA,Profeco_010101_arbol,data20220905
35,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220905
36,"# AZUCAR, ENDULZANTES Y CAFE",,Profeco_010101_arbol,data20220905
37,0960,AZUCAR,Profeco_010101_arbol,data20220905
38,0961,CAFE SOLUBLE,Profeco_010101_arbol,data20220905
39,0962,CAFE TOSTADO Y MOLIDO,Profeco_010101_arbol,data20220905
40,0991,CHOCOLATE EN TABLILLAS,Profeco_010101_arbol,data20220905
41,0998,JARABE PARA PREPARAR BEBIDAS,Profeco_010101_arbol,data20220905
42,0950,MERMELADA,Profeco_010101_arbol,data20220905
43,0996,MIEL DE ABEJA,Profeco_010101_arbol,data20220905
44,0990,POLVO PARA BEBIDAS SABOR CHOCOLATE,Profeco_010101_arbol,data20220905
45,# POSTRES PARA PREPARAR,,Profeco_010101_arbol,data20220905
46,0994,FLAN,Profeco_010101_arbol,data20220905
47,0995,GELATINA EN POLVO,Profeco_010101_arbol,data20220905
48,0984,POLVO P/HORNEAR,Profeco_010101_arbol,data20220905
49,# BEBIDAS,,Profeco_010101_arbol,data20220905
50,# BEBIDAS ALCOHOLICAS,,Profeco_010101_arbol,data20220905
51,1000,BRANDY,Profeco_010101_arbol,data20220905
52,1001,CERVEZA,Profeco_010101_arbol,data20220905
53,1005,TEQUILA,Profeco_010101_arbol,data20220905
54,# BEBIDAS NO ALCOHOLICAS,,Profeco_010101_arbol,data20220905
55,0964,AGUA CON GAS,Profeco_010101_arbol,data20220905
56,0965,AGUA SIN GAS,Profeco_010101_arbol,data20220905
57,0968,BEBIDAS HIDRATANTES,Profeco_010101_arbol,data20220905
58,0967,JUGO DE FRUTA,Profeco_010101_arbol,data20220905
